Age,Job,Marital,Education,Default,Balance,Housing,Loan,Contact,Day,Month,Duration,Campaign,pdays,Previous,Poutcome,Deposit
59,admin.,Married,Secondary,No,2343,Yes,No,Unknown,5,may,1042,1,-1,0,unknown,Yes
56,admin.,Married,Secondary,No,45,No,No,Unknown,5,may,1467,1,-1,0,unknown,Yes
41,technician,Married,Secondary,No,1270,Yes,No,Unknown,5,may,1389,1,-1,0,unknown,Yes
55,services,Married,Secondary,No,2476,Yes,No,Unknown,5,may,579,1,-1,0,unknown,Yes
54,admin.,Married,Tertiary,No,184,No,No,Unknown,5,may,673,2,-1,0,unknown,Yes
42,management,Single,Tertiary,No,0,Yes,Yes,Unknown,5,may,562,2,-1,0,unknown,Yes
56,management,Married,Tertiary,No,830,Yes,Yes,Unknown,6,may,1201,1,-1,0,unknown,Yes
60,retired,Divorced,Secondary,No,545,Yes,No,Unknown,6,may,1030,1,-1,0,unknown,Yes
37,technician,Married,Secondary,No,1,Yes,No,Unknown,6,may,608,1,-1,0,unknown,Yes
28,services,Single,Secondary,No,5090,Yes,No,Unknown,6,may,1297,3,-1,0,unknown,Yes
38,admin.,Single,Secondary,No,100,Yes,No,Unknown,7,may,786,1,-1,0,unknown,Yes
30,blue-collar,Married,Secondary,No,309,Yes,No,Unknown,7,may,1574,2,-1,0,unknown,Yes
29,management,Married,Tertiary,No,199,Yes,Yes,Unknown,7,may,1689,4,-1,0,unknown,Yes
46,blue-collar,Single,Tertiary,No,460,Yes,No,Unknown,7,may,1102,2,-1,0,unknown,Yes
31,technician,Single,Tertiary,No,703,Yes,No,Unknown,8,may,943,2,-1,0,unknown,Yes
35,management,Divorced,Tertiary,No,3837,Yes,No,Unknown,8,may,1084,1,-1,0,unknown,Yes
32,blue-collar,Single,Primary,No,611,Yes,No,Unknown,8,may,541,3,-1,0,unknown,Yes
49,services,Married,Secondary,No,-8,Yes,No,Unknown,8,may,1119,1,-1,0,unknown,Yes
41,admin.,Married,Secondary,No,55,Yes,No,Unknown,8,may,1120,2,-1,0,unknown,Yes
49,admin.,Divorced,Secondary,No,168,Yes,Yes,Unknown,8,may,513,1,-1,0,unknown,Yes
28,admin.,Divorced,Secondary,No,785,Yes,No,Unknown,8,may,442,2,-1,0,unknown,Yes
43,management,Single,Tertiary,No,2067,Yes,No,Unknown,8,may,756,1,-1,0,unknown,Yes
43,management,Divorced,Tertiary,No,388,Yes,No,Unknown,8,may,2087,2,-1,0,unknown,Yes
43,blue-collar,Married,Primary,No,-192,Yes,No,Unknown,8,may,1120,2,-1,0,unknown,Yes
37,unemployed,Single,Secondary,No,381,Yes,No,Unknown,8,may,985,2,-1,0,unknown,Yes
35,blue-collar,Single,Secondary,No,40,Yes,No,Unknown,9,may,617,4,-1,0,unknown,Yes
31,technician,Single,Tertiary,No,22,Yes,No,Unknown,9,may,483,3,-1,0,unknown,Yes
43,blue-collar,Single,Secondary,No,3,Yes,No,Unknown,9,may,929,3,-1,0,unknown,Yes
31,admin.,Married,Secondary,No,307,Yes,No,Unknown,9,may,538,1,-1,0,unknown,Yes
28,blue-collar,Single,Secondary,No,759,Yes,No,Unknown,9,may,710,1,-1,0,unknown,Yes
32,blue-collar,Married,Secondary,Yes,-1,Yes,No,Unknown,9,may,653,1,-1,0,unknown,Yes
60,technician,Married,Primary,No,65,Yes,No,Unknown,9,may,1028,2,-1,0,unknown,Yes
26,blue-collar,Single,Secondary,No,82,Yes,No,Unknown,9,may,654,1,-1,0,unknown,Yes
40,blue-collar,Married,Secondary,No,10,Yes,No,Unknown,9,may,1692,2,-1,0,unknown,Yes
33,blue-collar,Divorced,Primary,No,390,Yes,No,Unknown,9,may,665,2,-1,0,unknown,Yes
32,management,Single,Tertiary,No,311,No,No,Unknown,12,may,757,2,-1,0,unknown,Yes
35,blue-collar,Married,Primary,No,414,No,No,Unknown,13,may,504,4,-1,0,unknown,Yes
33,management,Divorced,Secondary,No,5,Yes,No,Unknown,13,may,1346,1,-1,0,unknown,Yes
38,management,Married,Tertiary,No,119,Yes,No,Unknown,13,may,568,4,-1,0,unknown,Yes
23,entrepreneur,Single,Primary,No,4,Yes,No,Unknown,13,may,395,2,-1,0,unknown,Yes
60,blue-collar,Married,Primary,No,1262,Yes,Yes,Unknown,13,may,1015,1,-1,0,unknown,Yes
48,management,Married,Tertiary,No,1949,Yes,No,Unknown,13,may,683,2,-1,0,unknown,Yes
45,entrepreneur,Divorced,Tertiary,No,-395,Yes,No,Unknown,13,may,470,1,-1,0,unknown,Yes
36,blue-collar,Married,Secondary,No,1165,Yes,No,Unknown,13,may,1001,4,-1,0,unknown,Yes
52,management,Married,Unknown,No,2240,Yes,No,Unknown,13,may,845,1,-1,0,unknown,Yes
35,blue-collar,Divorced,Primary,No,300,Yes,No,Unknown,13,may,945,2,-1,0,unknown,Yes
43,technician,Married,Secondary,No,3285,Yes,No,Unknown,13,may,1721,2,-1,0,unknown,Yes
52,housemaid,Married,Secondary,No,3923,Yes,No,Unknown,14,may,942,3,-1,0,unknown,Yes
53,technician,Divorced,Primary,No,1443,Yes,No,Unknown,14,may,476,1,-1,0,unknown,Yes
48,blue-collar,Divorced,Primary,No,24,Yes,No,Unknown,14,may,832,1,-1,0,unknown,Yes
41,blue-collar,Single,Primary,No,1618,Yes,No,Unknown,14,may,1553,1,-1,0,unknown,Yes
39,management,Divorced,Tertiary,No,517,Yes,Yes,Unknown,14,may,1328,1,-1,0,unknown,Yes
59,retired,Married,Secondary,No,1521,Yes,Yes,Unknown,14,may,1125,2,-1,0,unknown,Yes
41,blue-collar,Married,Secondary,No,2823,Yes,No,Unknown,14,may,858,1,-1,0,unknown,Yes
48,blue-collar,Married,Secondary,No,1405,Yes,No,Unknown,14,may,629,2,-1,0,unknown,Yes
40,admin.,Married,Secondary,No,1535,Yes,No,Unknown,14,may,704,1,-1,0,unknown,Yes
48,blue-collar,Married,Secondary,No,1596,Yes,No,Unknown,14,may,760,1,-1,0,unknown,Yes
60,retired,Married,Primary,No,1542,Yes,No,Unknown,14,may,930,1,-1,0,unknown,Yes
40,technician,Single,Unknown,No,3652,Yes,No,Unknown,14,may,1028,2,-1,0,unknown,Yes
57,technician,Married,Tertiary,No,-1,No,No,Unknown,14,may,850,2,-1,0,unknown,Yes
51,blue-collar,Married,Secondary,No,7180,Yes,No,Unknown,14,may,927,1,-1,0,unknown,Yes
41,blue-collar,Divorced,Secondary,No,5291,Yes,No,Unknown,14,may,1423,3,-1,0,unknown,Yes
41,blue-collar,Married,Secondary,No,1384,Yes,No,Unknown,15,may,1162,4,-1,0,unknown,Yes
52,blue-collar,Divorced,Primary,No,-191,Yes,No,Unknown,15,may,755,1,-1,0,unknown,Yes
59,blue-collar,Married,Primary,No,320,Yes,No,Unknown,15,may,695,1,-1,0,unknown,Yes
44,blue-collar,Married,Unknown,No,146,Yes,No,Unknown,15,may,483,1,-1,0,unknown,Yes
49,unknown,Married,Primary,No,341,Yes,Yes,Unknown,15,may,520,2,-1,0,unknown,Yes
40,services,Married,Primary,No,-9,Yes,No,Unknown,15,may,920,2,-1,0,unknown,Yes
41,admin.,Married,Primary,No,-306,Yes,No,Unknown,15,may,500,1,-1,0,unknown,Yes
44,technician,Married,Tertiary,No,4580,Yes,No,Unknown,15,may,911,2,-1,0,unknown,Yes
60,services,Single,Primary,No,313,Yes,No,Unknown,15,may,920,2,-1,0,unknown,Yes
29,management,Married,Tertiary,No,10576,No,No,Unknown,15,may,1224,2,-1,0,unknown,Yes
41,retired,Divorced,Primary,No,-233,Yes,No,Unknown,15,may,1156,2,-1,0,unknown,Yes
41,blue-collar,Married,Primary,No,2453,Yes,No,Unknown,15,may,1052,1,-1,0,unknown,Yes
42,technician,Single,Secondary,No,1364,Yes,No,Unknown,15,may,1867,6,-1,0,unknown,Yes
36,services,Single,Unknown,No,281,Yes,No,Unknown,16,may,515,1,-1,0,unknown,Yes
39,technician,Married,Tertiary,No,94,Yes,Yes,Unknown,16,may,813,1,-1,0,unknown,Yes
31,self-employed,Single,Tertiary,No,144,Yes,No,Unknown,16,may,676,1,-1,0,unknown,Yes
26,blue-collar,Married,Secondary,No,246,Yes,No,Unknown,16,may,1143,3,-1,0,unknown,Yes
31,blue-collar,Married,Secondary,No,92,Yes,No,Unknown,16,may,688,1,-1,0,unknown,Yes
29,admin.,Single,Secondary,No,163,Yes,Yes,Unknown,16,may,803,1,-1,0,unknown,Yes
37,services,Divorced,Secondary,No,49,Yes,No,Unknown,16,may,619,2,-1,0,unknown,Yes
33,blue-collar,Single,Secondary,No,-416,Yes,No,Unknown,16,may,767,2,-1,0,unknown,Yes
24,technician,Single,Secondary,No,409,Yes,No,Unknown,16,may,912,1,-1,0,unknown,Yes
50,admin.,Divorced,Secondary,No,363,Yes,No,Unknown,16,may,1340,1,-1,0,unknown,Yes
27,technician,Single,Tertiary,No,3706,Yes,No,Unknown,16,may,897,1,-1,0,unknown,Yes
54,management,Single,Tertiary,No,4393,Yes,No,Unknown,16,may,1297,3,-1,0,unknown,Yes
30,technician,Single,Secondary,No,863,Yes,No,Unknown,16,may,1193,5,-1,0,unknown,Yes
34,blue-collar,Married,Primary,No,695,Yes,Yes,Unknown,16,may,1064,4,-1,0,unknown,Yes
37,management,Single,Secondary,No,792,Yes,No,Unknown,16,may,1187,4,-1,0,unknown,Yes
41,admin.,Single,Secondary,No,1020,Yes,No,Unknown,19,may,882,1,-1,0,unknown,Yes
47,blue-collar,Married,Secondary,No,863,Yes,No,Unknown,19,may,943,2,-1,0,unknown,Yes
31,admin.,Married,Secondary,No,97,Yes,No,Unknown,19,may,607,1,-1,0,unknown,Yes
31,blue-collar,Married,Secondary,No,754,Yes,No,Unknown,19,may,1022,4,-1,0,unknown,Yes
43,services,Divorced,Secondary,No,1040,Yes,No,Unknown,19,may,552,3,-1,0,unknown,Yes
37,management,Divorced,Tertiary,No,122,Yes,No,Unknown,19,may,1622,2,-1,0,unknown,Yes
30,technician,Single,Tertiary,No,880,Yes,Yes,Unknown,19,may,967,6,-1,0,unknown,Yes
41,technician,Married,Secondary,No,501,Yes,No,Unknown,19,may,579,5,-1,0,unknown,Yes
36,blue-collar,Married,Secondary,No,4438,Yes,No,Unknown,20,may,446,1,-1,0,unknown,Yes
